price,address,beds,baths,parking,type,sold_date
"$770,000","134 Tullong Road, 
SCONE NSW 2337",NA,NA,NA,Rural,21-Dec-24
"$762,000","8/2-8 Kiora Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,19-Dec-24
"$825,000","66/118-128 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,17-Dec-24
"$656,000","BA305/18 University Road, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,16-Dec-24
"$930,000","28 Oxford Rd, 
SCONE NSW 2337",4,2,2,House,16-Dec-24
"$740,000","20 Gray St, 
SCONE NSW 2337",4,2,2,House,16-Dec-24
"$790,000","2A Somerset Place, 
SCONE NSW 2337",4,2,2,House,16-Dec-24
"$2,255,000","104 Miranda Road, 
MIRANDA NSW 2228",4,2,2,House,14-Dec-24
"$550,000","8 Bottlebrush Place, 
SCONE NSW 2337",3,1,1,House,13-Dec-24
"$670,000","12 Gould Street, 
SCONE NSW 2337",4,3,1,House,11-Dec-24
"$1,190,000","G01/61 Miranda Road, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,10-Dec-24
"$351,000","6/82 Park Street, 
SCONE NSW 2337",3,1,1,Apartment / Unit / Flat,10-Dec-24
"$830,000","102/1 Pinnacle Street, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,9-Dec-24
"$915,000","19 Waverley Street, 
SCONE NSW 2337",12,5,NA,Block of units,9-Dec-24
"$2,210,000","11 Blackwood Street, 
MIRANDA NSW 2228",3,2,2,House,7-Dec-24
"$730,000","6/19-21 Miranda Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,6-Dec-24
"$1,750,000","207 The Boulevarde, 
MIRANDA NSW 2228",5,2,2,House,6-Dec-24
"$205,000","196 Susan Street, 
SCONE NSW 2337",NA,NA,NA,Vacant land,6-Dec-24
"$205,000","198 Susan Street, 
SCONE NSW 2337",NA,NA,NA,Vacant land,6-Dec-24
"$1,415,000","132 Bellingara Road, 
MIRANDA NSW 2228",3,1,1,House,5-Dec-24
"$395,000","109 Kelly St, 
SCONE NSW 2337",1,1,13,House,5-Dec-24
"$1,070,000","29 Morley Avenue, 
HAMMONDVILLE NSW 2170",3,1,2,House,4-Dec-24
"$740,000","53/109 Stewart Avenue, 
HAMMONDVILLE NSW 2170",2,1,1,Townhouse,3-Dec-24
